"","clip","stimulus","response","language","gender","noise_exposure","age","condition","trial","participant"
"1","yanny-laurel-single_yanny_6.wav",1,"Laurel","German","m","no",28,"random",0,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"2","yanny-laurel-single_yanny_48.wav",5,"Yanny","German","m","no",28,"random",1,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"3","yanny-laurel-single_laurel_12.wav",-2,"Laurel","German","m","no",28,"random",2,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"4","yanny-laurel-single_laurel_6.wav",-1,"Laurel","German","m","no",28,"random",3,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"5","yanny-laurel-single_yanny_36.wav",4,"Yanny","German","m","no",28,"random",4,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"6","yanny-laurel-single_laurel_48.wav",-5,"Laurel","German","m","no",28,"random",5,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"7","yanny-laurel-single_laurel_24.wav",-3,"Laurel","German","m","no",28,"random",6,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"8","yanny-laurel-single_yanny_12.wav",2,"Laurel","German","m","no",28,"random",7,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"9","yanny-laurel-single_yanny_0.wav",0,"Laurel","German","m","no",28,"random",8,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"10","yanny-laurel-single_laurel_36.wav",-4,"Laurel","German","m","no",28,"random",9,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"11","yanny-laurel-single_yanny_24.wav",3,"Yanny","German","m","no",28,"random",10,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"12","yanny-laurel-single_laurel_24.wav",-3,"Laurel","German","m","no",28,"random",11,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"13","yanny-laurel-single_laurel_48.wav",-5,"Laurel","German","m","no",28,"random",12,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"14","yanny-laurel-single_laurel_36.wav",-4,"Laurel","German","m","no",28,"random",13,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"15","yanny-laurel-single_yanny_48.wav",5,"Yanny","German","m","no",28,"random",14,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"16","yanny-laurel-single_yanny_36.wav",4,"Yanny","German","m","no",28,"random",15,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"17","yanny-laurel-single_yanny_0.wav",0,"Laurel","German","m","no",28,"random",16,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"18","yanny-laurel-single_yanny_6.wav",1,"Laurel","German","m","no",28,"random",17,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"19","yanny-laurel-single_laurel_6.wav",-1,"Laurel","German","m","no",28,"random",18,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"20","yanny-laurel-single_laurel_12.wav",-2,"Laurel","German","m","no",28,"random",19,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"21","yanny-laurel-single_yanny_24.wav",3,"Yanny","German","m","no",28,"random",20,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"22","yanny-laurel-single_yanny_12.wav",2,"Yanny","German","m","no",28,"random",21,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"23","yanny-laurel-single_yanny_36.wav",4,"Yanny","German","m","no",28,"random",22,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"24","yanny-laurel-single_laurel_6.wav",-1,"Laurel","German","m","no",28,"random",23,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"25","yanny-laurel-single_laurel_12.wav",-2,"Laurel","German","m","no",28,"random",24,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"26","yanny-laurel-single_laurel_48.wav",-5,"Laurel","German","m","no",28,"random",25,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"27","yanny-laurel-single_yanny_0.wav",0,"Laurel","German","m","no",28,"random",26,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"28","yanny-laurel-single_yanny_6.wav",1,"Yanny","German","m","no",28,"random",27,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"29","yanny-laurel-single_laurel_36.wav",-4,"Laurel","German","m","no",28,"random",28,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"30","yanny-laurel-single_yanny_12.wav",2,"Laurel","German","m","no",28,"random",29,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"31","yanny-laurel-single_yanny_24.wav",3,"Yanny","German","m","no",28,"random",30,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
