clip,stimulus,response,language,name,gender,noise_exposure,age,condition,trial,participant
yanny-laurel-single_laurel_48.wav,-5,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,0,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_laurel_36.wav,-4,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,1,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_laurel_24.wav,-3,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,2,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_laurel_12.wav,-2,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,3,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_laurel_6.wav,-1,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,4,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_0.wav,0,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,5,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_6.wav,1,Yanny,"English, Telugu",Shreya,f,no,19,laurel_first,6,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_12.wav,2,Yanny,"English, Telugu",Shreya,f,no,19,laurel_first,7,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_24.wav,3,Yanny,"English, Telugu",Shreya,f,no,19,laurel_first,8,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_36.wav,4,Yanny,"English, Telugu",Shreya,f,no,19,laurel_first,9,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_48.wav,5,Yanny,"English, Telugu",Shreya,f,no,19,laurel_first,10,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_48.wav,5,Yanny,"English, Telugu",Shreya,f,no,19,laurel_first,11,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_36.wav,4,Yanny,"English, Telugu",Shreya,f,no,19,laurel_first,12,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_24.wav,3,Yanny,"English, Telugu",Shreya,f,no,19,laurel_first,13,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_12.wav,2,Yanny,"English, Telugu",Shreya,f,no,19,laurel_first,14,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_6.wav,1,Yanny,"English, Telugu",Shreya,f,no,19,laurel_first,15,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_yanny_0.wav,0,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,16,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_laurel_6.wav,-1,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,17,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_laurel_12.wav,-2,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,18,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_laurel_24.wav,-3,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,19,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_laurel_36.wav,-4,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,20,e1966681c6215320159da754df1bad629d6fdfa348cc
yanny-laurel-single_laurel_48.wav,-5,Laurel,"English, Telugu",Shreya,f,no,19,laurel_first,21,e1966681c6215320159da754df1bad629d6fdfa348cc
